; CSV, generated by libsigrok4DSL 0.2.0 on Tue Oct 18 11:27:46 2022
; Channels (4/16)
; Sample rate: 20 MHz
; Sample count: 200.512 M Samples
Time(s), CLK, MOSI, CS, DC
0.3270936,1,1,1,1
0.32709365,1,1,1,0
0.32710225,1,1,0,0
0.32711095,1,1,1,1
0.327111,1,1,1,0
0.3271283,1,1,0,0
0.32713695,1,1,1,0
0.327137,1,1,1,1
0.32713705,1,1,1,0
0.32714565,1,1,0,0
0.327163,1,1,1,1
0.32716305,1,1,1,0
0.3271717,1,1,0,0
0.32718035,1,1,1,1
0.32718045,1,1,1,0
0.32718905,1,1,0,0
0.3271977,1,1,1,1
0.3271978,1,1,1,0
0.32721505,1,1,0,0
0.32722375,1,1,1,1
0.32722385,1,1,1,0
0.3272324,1,1,0,0
0.32724975,1,1,1,1
0.32724985,1,1,1,0
0.32725845,1,1,0,0
0.32726715,1,1,1,1
0.32726725,1,1,1,0
0.3272758,1,1,0,0
0.3272845,1,1,1,1
0.3272846,1,1,1,0
0.32730185,1,1,0,0
0.3273105,1,1,1,1
0.3273106,1,1,1,0
0.3273192,1,1,0,0
0.32733655,1,1,1,1
0.32733665,1,1,1,0
0.32734525,1,1,0,0
0.3273539,1,1,1,1
0.327354,1,1,1,0
0.3273626,1,1,0,0
0.32737125,1,1,1,1
0.32737135,1,1,1,0
0.3273886,1,1,0,0
0.3273973,1,1,1,1
0.3273974,1,1,1,0
0.32740595,1,1,0,0
0.3274233,1,1,1,1
0.3274234,1,1,1,0
0.327432,1,1,0,0
0.3274407,1,1,1,1
0.3274408,1,1,1,0
0.32744935,1,1,0,0
0.32745805,1,1,1,1
0.32745815,1,1,1,0
0.3274754,1,1,0,0
0.32748405,1,1,1,1
0.32748415,1,1,1,0
0.32749275,1,1,0,0
0.3275101,1,1,1,1
0.3275102,1,1,1,0
0.3275188,1,1,0,0
0.32752745,1,1,1,0
0.3275275,1,1,1,1
0.32752755,1,1,1,0
0.32753615,1,1,0,0
0.3275448,1,1,1,0
0.32754485,1,1,1,1
0.3275449,1,1,1,0
0.32756215,1,1,1,1
0.3275622,1,1,0,0
0.32757085,1,1,1,1
0.32757095,1,1,1,0
0.3275795,1,1,1,1
0.32757955,1,1,0,0
0.3275969,1,1,1,1
0.32759695,1,1,1,0
0.3276056,1,1,0,0
0.32761425,1,1,1,1
0.32761435,1,1,1,0
0.32762295,1,1,0,0
0.3276316,1,1,1,1
0.3276317,1,1,1,0
0.32764895,1,1,0,0
0.32765765,1,1,1,1
0.3276577,1,1,1,0
0.3276663,1,1,0,0
0.32768365,1,1,1,0
0.3276837,1,1,1,1
0.32768375,1,1,1,0
0.32769235,1,1,0,0
0.32770105,1,1,1,1
0.3277011,1,1,1,0
0.3277097,1,1,0,0
0.3277184,1,1,1,1
0.3277185,1,1,1,0
0.32773575,1,1,0,0
0.3277444,1,1,1,0
0.32774445,1,1,1,1
0.3277445,1,1,1,0
0.3277531,1,1,0,0
